ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
4000
ITEM: BOX BOUNDS pp pp pp
0 50
0 50
0 50
ITEM: ATOMS id mol type x y z 
1 1 1 12.635105111554038 22.435255497710088 21.896467395243455
2 1 1 13.404065111554038 21.28509549771009 21.972947395243455
3 1 1 12.348065111554039 20.40069549771009 22.123427395243457
4 1 1 12.150065111554039 19.98109549771009 23.429107395243456
5 1 1 12.975745111554039 20.70613549771009 22.584867395243457
6 1 1 12.18974511155404 21.42445549771009 21.698227395243457
7 1 1 11.447025111554039 21.386295497710087 22.867427395243457
8 1 1 11.093105111554038 22.123015497710085 21.748547395243456
9 1 1 11.712465111554039 23.237415497710085 22.291347395243456
10 1 1 11.543025111554039 23.283975497710085 23.665827395243454
11 1 1 11.05990511155404 23.083415497710085 22.382787395243454
12 1 1 10.602385111554039 22.173735497710084 21.443027395243455
13 1 1 10.69926511155404 21.246055497710085 20.418307395243456
14 1 1 10.628705111554039 19.942455497710085 19.953827395243458
15 1 1 11.516465111554039 18.969735497710086 19.52294739524346
16 1 1 12.34190511155404 18.264695497710086 18.66182739524346
17 1 1 12.39670511155404 16.949735497710087 19.09510739524346
18 1 1 12.687505111554039 16.124215497710086 18.02078739524346
19 1 1 13.612945111554039 15.343095497710086 18.69422739524346
20 1 1 14.983505111554038 15.218295497710086 18.53278739524346
21 1 1 15.664545111554038 16.190775497710085 19.24734739524346
22 1 1 14.502385111554037 16.261175497710084 18.49622739524346
23 1 1 15.041105111554037 17.533975497710085 18.595827395243457
24 1 1 16.149905111554038 18.215095497710085 18.119667395243457
25 1 1 16.241425111554037 19.394695497710085 18.840787395243456
26 1 1 17.451665111554036 19.180695497710087 19.480867395243457
27 1 1 17.555345111554036 18.916775497710088 20.837187395243458
28 1 1 18.549665111554035 19.657015497710088 20.21806739524346
29 1 1 19.666625111554033 19.878295497710088 21.00758739524346
30 1 1 18.465905111554033 20.279495497710087 20.44422739524346
31 1 1 18.015345111554034 21.132455497710087 21.43894739524346
32 1 1 19.044305111554035 21.927095497710088 21.91838739524346
33 1 1 19.341185111554037 22.27965549771009 23.22518739524346
34 1 1 19.221665111554035 21.58293549771009 22.03334739524346
35 1 1 18.760625111554035 22.78029549771009 21.51014739524346
36 1 1 18.857745111554035 22.82141549771009 22.89174739524346
37 1 1 19.214945111554034 24.082695497710088 22.44262739524346
38 1 1 18.902145111554034 23.05253549771009 23.314947395243458
39 1 1 19.656705111554036 21.89053549771009 23.29286739524346
40 1 1 19.233665111554036 21.09389549771009 24.34462739524346
41 1 1 18.558865111554034 21.66933549771009 23.27990739524346
42 1 1 17.744705111554033 22.64461549771009 23.83310739524346
43 1 1 17.048385111554033 23.83589549771009 23.95886739524346
44 1 1 17.838625111554034 24.47997549771009 24.897427395243458
45 1 1 19.179505111554032 24.45157549771009 25.24574739524346
46 1 1 18.142865111554034 23.59757549771009 24.90478739524346
47 1 1 18.977665111554035 23.99069549771009 25.93846739524346
48 1 1 19.588625111554034 24.27157549771009 24.72702739524346
49 1 1 19.863905111554033 22.957975497710088 24.38278739524346
50 1 1 20.134705111554034 22.225735497710087 25.52758739524346
51 1 1 19.854705111554033 20.871095497710087 25.44774739524346
52 1 1 19.88438511155403 21.570135497710087 26.643747395243462
53 1 1 18.97862511155403 21.731095497710086 25.60766739524346
54 1 1 18.36422511155403 20.755335497710085 24.83926739524346
55 1 1 17.20366511155403 21.490775497710086 25.019027395243462
56 1 1 17.92606511155403 20.715895497710086 24.12574739524346
57 1 1 17.885105111554033 20.243575497710086 25.42766739524346
58 1 1 16.699025111554032 20.909735497710088 25.16414739524346
59 1 1 16.976305111554034 22.226935497710087 24.835667395243462
60 1 1 15.739905111554034 22.709335497710086 25.23422739524346
61 1 1 16.456625111554033 21.524695497710084 25.288707395243463
62 1 1 15.298305111554033 22.281175497710084 25.366787395243463
63 1 1 14.089745111554032 22.265175497710086 24.689267395243462
64 1 1 14.621825111554033 22.306455497710086 25.967987395243462
65 1 1 14.487265111554033 20.939175497710085 26.14790739524346
66 1 1 13.591665111554033 21.836455497710084 25.58870739524346
67 1 1 13.719105111554033 20.890215497710084 26.59294739524346
68 1 1 13.163665111554032 19.674695497710083 26.22702739524346
69 1 1 12.617345111554032 20.183895497710083 25.05998739524346
70 1 1 13.785585111554031 20.60829549771008 24.44750739524346
71 1 1 14.287345111554032 19.979895497710082 23.31902739524346
72 1 1 15.663025111554031 19.840695497710083 23.40902739524346
73 1 1 15.428545111554032 18.797335497710083 22.52790739524346
74 1 1 15.793425111554031 19.566855497710083 23.62102739524346
75 1 1 15.416065111554031 18.495255497710083 24.41430739524346
76 1 1 14.318785111554032 18.768695497710084 25.215187395243458
77 1 1 13.993505111554033 19.959975497710083 25.843667395243457
78 1 1 13.231985111554032 18.97549549771008 25.234707395243458
79 1 1 12.552545111554032 18.04357549771008 24.466707395243457
80 1 1 11.662705111554033 18.62453549771008 25.355987395243456
81 1 1 10.862945111554033 17.59829549771008 25.832867395243458
82 1 1 11.909585111554033 16.89533549771008 25.25822739524346
83 1 1 11.002545111554033 15.85613549771008 25.127267395243457
84 1 1 11.342465111554032 16.99189549771008 24.41006739524346
85 1 1 12.212865111554033 17.793815497710078 23.68950739524346
86 1 1 12.446545111554032 17.77117549771008 22.32390739524346
87 1 1 11.114545111554031 17.39109549771008 22.36102739524346
88 1 1 9.90534511155403 17.51333549771008 21.69558739524346
89 1 1 10.26190511155403 17.823735497710082 20.39310739524346
90 1 1 9.837665111554031 18.527895497710084 19.277667395243462
91 1 1 11.138145111554032 18.953255497710085 19.49662739524346
92 1 1 10.48782511155403 17.735575497710084 19.617187395243462
93 1 1 11.23070511155403 17.443255497710084 20.749747395243464
94 1 1 11.296465111554031 18.590455497710085 19.975347395243464
95 1 1 11.46718511155403 17.215415497710087 19.970227395243462
96 1 1 11.98982511155403 16.434775497710085 20.988787395243463
97 1 1 12.812385111554029 16.504695497710085 22.101587395243463
98 1 1 11.76526511155403 16.930215497710083 21.299987395243463
99 1 1 10.84198511155403 17.955255497710084 21.170547395243464
100 1 1 10.34910511155403 17.591015497710085 19.927747395243465
101 1 1 9.61830511155403 16.810215497710086 20.808707395243466
102 1 1 9.11422511155403 16.006535497710086 21.818707395243468
103 1 1 8.32438511155403 14.936535497710086 21.429827395243468
104 1 1 7.208705111554029 15.077095497710086 22.239427395243467
105 1 1 7.681825111554029 16.354695497710086 21.986147395243467
106 1 1 8.587825111554029 17.075815497710085 22.747107395243468
107 1 1 7.265825111554029 16.666215497710084 22.68118739524347
108 1 1 7.252065111554028 16.497895497710083 24.05654739524347
109 1 1 8.000065111554028 17.62565549771008 23.75846739524347
110 1 1 7.483265111554028 18.83613549771008 23.32518739524347
111 1 1 7.824545111554028 20.019655497710083 23.959747395243472
112 1 1 7.457905111554028 19.322535497710085 25.099747395243472
113 1 1 7.238225111554027 20.523095497710084 24.443587395243473
114 1 1 7.781425111554027 21.473575497710083 23.59414739524347
115 1 1 7.121825111554027 21.872055497710083 22.44262739524347
116 1 1 6.406145111554027 22.641015497710082 23.34614739524347
117 1 1 5.759985111554027 22.349495497710084 22.155507395243472
118 1 1 6.0399051115540265 23.423975497710085 22.984387395243473
119 1 1 6.644465111554027 24.548615497710085 23.522547395243475
120 1 1 7.9755051115540265 24.781015497710083 23.829907395243474
121 1 1 9.210385111554027 24.181175497710083 24.017907395243473
122 1 1 10.411905111554027 24.693575497710082 23.555507395243474
123 1 1 10.955265111554027 24.618935497710083 22.283027395243472
124 1 1 11.232145111554027 24.198215497710084 23.573907395243474
125 1 1 10.449665111554028 23.541655497710085 22.637667395243472
126 1 1 11.690625111554027 22.967655497710084 22.412707395243473
127 1 1 11.370625111554027 23.966935497710082 21.507667395243473
128 1 1 10.498785111554026 25.038215497710084 21.618947395243474
129 1 1 11.840145111554026 25.339335497710085 21.793107395243474
130 1 1 11.148945111554026 24.599815497710086 20.846867395243475
131 1 1 10.765185111554025 23.269495497710086 20.793827395243476
132 1 1 10.617425111554025 24.553095497710085 21.294387395243476
133 1 1 11.671985111554026 24.498775497710085 22.191667395243474
134 1 1 12.606785111554025 25.485975497710086 21.923827395243475
135 1 1 13.050465111554026 25.372295497710088 20.616067395243476
136 1 1 13.510545111554025 24.614055497710087 21.680707395243477
137 1 1 14.746945111554025 25.10725549771009 22.065507395243475
138 1 1 15.548945111554024 24.54389549771009 23.044947395243476
139 1 1 14.990785111554024 23.48541549771009 22.346387395243475
140 1 1 16.322625111554025 23.84389549771009 22.479107395243474
141 1 1 15.860145111554026 22.54901549771009 22.650867395243473
142 1 1 15.166145111554025 23.62861549771009 22.128467395243472
143 1 1 14.099345111554024 23.86117549771009 22.981667395243473
144 1 1 14.504385111554024 24.50181549771009 21.821587395243473
145 1 1 15.592785111554024 25.12709549771009 22.408387395243473
146 1 1 16.955185111554023 24.89429549771009 22.50790739524347
147 1 1 16.917345111554024 24.14477549771009 23.67278739524347
148 1 1 15.634145111554023 24.56189549771009 23.988147395243473
149 1 1 14.550385111554023 23.74173549771009 23.718067395243473
150 1 1 15.343265111554024 23.86333549771009 24.847827395243474
151 1 1 15.549025111554023 22.49309549771009 24.863027395243474
152 1 1 15.416225111554024 23.30757549771009 25.976067395243476
153 1 1 14.159425111554024 23.33701549771009 26.558947395243475
154 1 1 14.564545111554024 23.62765549771009 27.851827395243475
155 1 1 15.763985111554023 23.114855497710092 27.384467395243476
156 1 1 14.411025111554023 23.403015497710093 27.303587395243476
157 1 1 14.970225111554024 22.576375497710092 26.342387395243474
158 1 1 14.513745111554023 22.22149549771009 25.083187395243474
159 1 1 14.210065111554023 22.30477549771009 23.733747395243473
160 1 1 14.162625111554023 21.86389549771009 22.420947395243473
161 1 1 13.159025111554023 21.128855497710088 23.031027395243473
162 1 1 12.760145111554023 22.45381549771009 23.104307395243474
163 1 1 11.845745111554022 21.41381549771009 23.057267395243475
164 1 1 12.541505111554022 21.70973549771009 21.895987395243473
165 1 1 11.186865111554022 21.49301549771009 22.090467395243472
166 1 1 10.323985111554022 22.27021549771009 22.84638739524347
167 1 1 10.721425111554021 23.53157549771009 23.259827395243473
168 1 1 9.945425111554021 22.66365549771009 22.508547395243472
169 1 1 9.703345111554022 23.63621549771009 21.55166739524347
170 1 1 10.147745111554022 24.73005549771009 20.82630739524347
171 1 1 9.529185111554021 25.18117549771009 21.98134739524347
172 1 1 8.575265111554021 24.21373549771009 21.708707395243472
173 1 1 9.285745111554021 23.53381549771009 22.684867395243472
174 1 1 8.55110511155402 22.44533549771009 22.242547395243474
175 1 1 8.214705111554021 21.15869549771009 21.853187395243474
176 1 1 8.15630511155402 22.53597549771009 21.713027395243472
177 1 1 7.354545111554021 23.20181549771009 22.62614739524347
178 1 1 6.395025111554021 22.89965549771009 21.67326739524347
179 1 1 6.538625111554021 23.73325549771009 20.57566739524347
180 1 1 5.723425111554021 24.81677549771009 20.290627395243472
181 1 1 5.910785111554021 23.749815497710088 19.42662739524347
182 1 1 7.282785111554021 23.66525549771009 19.601507395243473
183 1 1 7.231025111554021 23.43973549771009 18.235347395243473
184 1 1 8.116785111554021 22.37405549771009 18.233907395243474
185 1 1 8.172705111554022 21.329415497710087 19.142627395243473
186 1 1 8.745825111554021 22.57413549771009 19.348227395243473
187 1 1 7.549105111554021 22.67229549771009 18.656627395243472
188 1 1 7.385905111554021 23.907015497710088 19.264067395243472
189 1 1 6.588465111554021 23.344455497710086 18.280387395243473
190 1 1 7.283505111554021 24.521815497710087 18.50582739524347
191 1 1 6.050945111554021 23.906455497710088 18.65414739524347
192 1 1 6.49422511155402 24.717575497710087 19.68638739524347
193 1 1 7.41582511155402 23.691975497710086 19.823747395243473
194 1 1 7.72222511155402 23.435735497710088 18.496947395243474
195 1 1 8.70294511155402 23.734295497710086 19.429187395243474
196 1 1 9.441425111554022 23.178535497710087 20.461507395243473
197 1 1 9.367745111554022 24.141495497710086 19.467987395243473
198 1 1 10.166305111554022 23.556295497710085 20.43742739524347
199 1 1 9.963985111554022 22.760615497710084 21.553667395243473
200 1 1 9.415105111554022 21.888695497710085 20.627107395243474
201 2 1 30.724113551087846 15.348648612578437 21.499024999913523
202 2 1 30.463713551087846 13.991848612578437 21.393664999913522
203 2 1 30.647713551087847 15.364648612578437 21.43310499991352
204 2 1 31.83019355108785 16.008808612578438 21.759824999913523
205 2 1 30.98931355108785 17.109608612578437 21.794624999913523
206 2 1 31.78915355108785 16.326968612578437 20.977424999913524
207 2 1 33.14667355108785 16.200568612578437 20.729984999913523
208 2 1 31.996113551087852 16.709128612578436 21.310784999913523
209 2 1 32.166113551087854 15.775768612578435 22.320704999913524
210 2 1 31.957393551087854 17.028088612578436 22.875984999913523
211 2 1 31.868433551087854 15.892888612578437 23.665584999913523
212 2 1 32.68867355108785 16.999768612578436 23.517664999913524
213 2 1 33.66899355108785 17.361368612578435 24.427584999913524
214 2 1 34.80491355108785 17.247928612578434 23.642144999913523
215 2 1 34.00291355108785 16.617048612578433 22.704704999913524
216 2 1 33.34339355108785 17.612728612578433 22.002064999913525
217 2 1 33.07547355108785 16.934968612578434 20.823584999913525
218 2 1 33.545793551087854 16.560808612578434 22.072144999913526
219 2 1 32.45819355108785 16.416248612578435 21.225744999913527
220 2 1 33.16747355108785 15.376328612578435 20.646704999913528
221 2 1 33.72931355108785 14.510568612578435 21.571344999913528
222 2 1 32.71955355108785 15.451048612578436 21.697744999913528
223 2 1 32.93731355108785 16.695288612578437 21.128144999913527
224 2 1 32.33259355108785 17.484968612578438 22.092944999913527
225 2 1 32.811233551087845 17.755528612578438 23.364784999913528
226 2 1 32.007153551087846 18.880648612578437 23.451904999913527
227 2 1 31.792753551087845 20.244088612578437 23.575584999913527
228 2 1 32.42643355108785 21.44872861257844 23.834704999913527
229 2 1 33.30283355108784 22.326488612578437 24.452304999913526
230 2 1 32.790193551087846 22.59128861257844 25.712144999913527
231 2 1 32.185473551087846 22.078168612578438 24.575824999913525
232 2 1 31.459073551087847 20.93576861257844 24.280064999913524
233 2 1 31.376593551087847 21.993128612578438 25.171744999913525
